"Old Method","New method","p","q","a","Real Time"
0.0530749675680926,7.57511766617459,1,1,-0.9,0.0526315789473684
0.0530749675680926,7.34744568980821,1,2,-0.9,0.0526315789473684
0.0530749675680926,7.22096125849355,1,3,-0.9,0.0526315789473684
0.0530749675680926,7.77749275627805,2,1,-0.9,0.0526315789473684
0.0530749675680926,7.52452389364873,2,2,-0.9,0.0526315789473684
0.0530749675680926,7.39803946233407,2,3,-0.9,0.0526315789473684
0.0530749675680926,7.95457096011857,3,1,-0.9,0.0526315789473684
0.0530749675680926,7.72689898375218,3,2,-0.9,0.0526315789473684
0.0530749675680926,7.54982077991166,3,3,-0.9,0.0526315789473684
0.0530749675680926,8.13164916395909,1,1,-0.7,0.176470588235294
0.0530749675680926,4.31181933825642,1,2,-0.7,0.176470588235294
0.0530749675680926,4.08414736189004,1,3,-0.7,0.176470588235294
0.0530749675680926,8.20753982274788,2,1,-0.7,0.176470588235294
0.0530749675680926,8.35932114032547,2,2,-0.7,0.176470588235294
0.0530749675680926,4.08414736189004,2,3,-0.7,0.176470588235294
0.0530749675680926,8.30872736779961,3,1,-0.7,0.176470588235294
0.0530749675680926,8.3846180265884,3,2,-0.7,0.176470588235294
0.0530749675680926,4.08414736189004,3,3,-0.7,0.176470588235294
0.150601571454271,4.18533490694176,1,1,-0.5,0.333333333333333
0.150601571454271,4.00825670310124,1,2,-0.5,0.333333333333333
0.150601571454271,4.00825670310124,1,3,-0.5,0.333333333333333
0.150601571454271,4.26122556573056,2,1,-0.5,0.333333333333333
0.150601571454271,4.00825670310124,2,2,-0.5,0.333333333333333
0.150601571454271,4.00825670310124,2,3,-0.5,0.333333333333333
0.150601571454271,4.41300688330815,3,1,-0.5,0.333333333333333
0.150601571454271,4.00825670310124,3,2,-0.5,0.333333333333333
0.150601571454271,4.00825670310124,3,3,-0.5,0.333333333333333
0.24883548537605,7.77749275627805,1,1,0.5,3
0.24883548537605,4.18533490694176,1,2,0.5,3
0.24883548537605,4.03355358936417,1,3,0.5,3
0.24883548537605,7.72689898375218,2,1,0.5,3
0.24883548537605,4.28652245199349,2,2,0.5,3
0.24883548537605,4.03355358936417,2,3,0.5,3
0.24883548537605,7.77749275627805,3,1,0.5,3
0.24883548537605,4.48889754209694,3,2,0.5,3
0.24883548537605,4.08414736189004,3,3,0.5,3
